key_lo;ma_lo;nam_trong;diem_giao_nhan;lat_long;chung_nhan;doi;dien_tich;giong_cao_su;polygon;phien_a;phien_b;phien_c;phien_d
id339;R5;2013;N;12.56038, 105.495523;PEFC CS;10;24,21;RRIV 124;12.558182,105.493251 12.558136,105.496651 12.558204,105.49671 12.558244,105.496815 12.55829,105.496932 12.55832,105.497055 12.558356,105.497173 12.558383,105.497274 12.558409,105.497347 12.558438,105.497383 12.55847,105.497436 12.558521,105.497524 12.558578,105.497578 12.558659,105.49764 12.55873,105.497695 12.558923,105.497727 12.562595,105.497795 12.562595,105.497795 12.562625,105.493262 12.558182,105.493251;0;0;0;0
id340;R6;2012;N;12.56114, 105.500105;PEFC CS;10;15,29;RRIV 124;12.560026,105.497843 12.559938,105.497873 12.559899,105.497917 12.559895,105.49799 12.559895,105.498225 12.559883,105.498533 12.559875,105.498752 12.559857,105.498977 12.559855,105.499216 12.55982,105.499448 12.5598,105.499694 12.559761,105.500027 12.559744,105.500173 12.559749,105.500295 12.559733,105.500456 12.559718,105.500671 12.559729,105.500873 12.559728,105.501051 12.559736,105.50115 12.55973,105.50134 12.559741,105.501491 12.559746,105.501714 12.55975,105.501836 12.559733,105.501927 12.559683,105.502007 12.559682,105.502359 12.562566,105.502368 12.562599,105.497869 12.560026,105.497843;0;0;0;0
id341;R7;2012;N;12.560978, 105.504732;PEFC CS;10;16,84;RRIV 124;12.559663,105.502478 12.559589,105.503301 12.559531,105.503436 12.559515,105.503558 12.559511,105.503667 12.559482,105.503821 12.559462,105.50402 12.55946,105.504206 12.559464,105.504423 12.559434,105.504615 12.5594,105.504767 12.5594,105.504906 12.55939,105.505035 12.559406,105.505227 12.559396,105.505427 12.55942,105.505585 12.559409,105.505783 12.559416,105.506013 12.559406,105.5062 12.559418,105.50636 12.559418,105.50658 12.55943,105.506729 12.559481,105.506853 12.559499,105.506892 12.559549,105.506961 12.562563,105.506987 12.562565,105.502484 12.559663,105.502478;0;0;0;0
id342;R8;2012;N;12.560619, 105.509316;PEFC CS;10;19,81;RRIV 124;12.559547,105.507052 12.559541,105.507286 12.559412,105.50748 12.55933,105.507671 12.559229,105.507794 12.559183,105.508055 12.559102,105.508387 12.559032,105.508602 12.558929,105.50887 12.558906,105.509037 12.558928,105.50923 12.558896,105.509394 12.558811,105.509542 12.558768,105.509814 12.558701,105.509988 12.558698,105.510205 12.558662,105.510404 12.55867,105.510693 12.558679,105.510786 12.558653,105.510929 12.558675,105.511046 12.558675,105.511202 12.558688,105.511359 12.558717,105.511581 12.562566,105.51158 12.562585,105.507066 12.559547,105.507052;0;0;0;0
id343;R9;2012;N;12.560476, 105.51392;PEFC CS;10;19,3;RRIV 124;12.558704,105.511657 12.558499,105.511673 12.55841,105.511748 12.558389,105.514064 12.558404,105.514253 12.558466,105.514361 12.558579,105.51446 12.558618,105.514525 12.558699,105.514594 12.558752,105.514632 12.558786,105.514677 12.558894,105.514676 12.558923,105.514722 12.558962,105.514775 12.55904,105.514809 12.559129,105.514804 12.559211,105.514845 12.559293,105.514811 12.559376,105.514842 12.55948,105.514841 12.55955,105.514881 12.559641,105.514957 12.559686,105.515091 12.559701,105.515224 12.559749,105.515334 12.559855,105.515329 12.559951,105.515354 12.560008,105.515367 12.56008,105.515391 12.560167,105.515399 12.560243,105.515436 12.560342,105.515449 12.560439,105.515553 12.560475,105.515604 12.560543,105.515675 12.560643,105.515762 12.560762,105.515826 12.560909,105.515893 12.561024,105.515976 12.561105,105.516039 12.561198,105.516091 12.561313,105.51618 12.562556,105.516183 12.562563,105.511669 12.558704,105.511657;0;0;0;0
id344;S1;2012;N;12.556258, 105.47764;PEFC CS;9;9,33;RRIV 124;12.558114,105.476498 12.558008,105.476359 12.557913,105.47629 12.557827,105.476198 12.557728,105.47611 12.557616,105.47601 12.557521,105.475954 12.55743,105.475926 12.557319,105.475919 12.557205,105.475965 12.557138,105.476078 12.557124,105.476253 12.557154,105.476377 12.557122,105.476514 12.557043,105.47664 12.556903,105.476834 12.556675,105.477007 12.556499,105.477089 12.556217,105.477242 12.556034,105.477355 12.555936,105.477474 12.555789,105.477598 12.555574,105.477621 12.555418,105.477757 12.555337,105.477874 12.555157,105.478122 12.555032,105.478323 12.554896,105.478516 12.554799,105.478687 12.554628,105.478959 12.554564,105.479073 12.554498,105.479167 12.554391,105.479279 12.554438,105.479361 12.558126,105.479353 12.558114,105.476498;0;0;0;0
id345;S10D;2012;N;12.555768, 105.51905;PEFC CS;11;11,05;RRIV 124;12.558021,105.517926 12.557777,105.517727 12.557664,105.517716 12.557513,105.517622 12.557396,105.517491 12.557192,105.517513 12.557063,105.517383 12.556874,105.517373 12.556705,105.517337 12.55655,105.5174 12.556355,105.517584 12.556243,105.517802 12.555958,105.517948 12.555833,105.51803 12.55577,105.518129 12.555759,105.518356 12.555755,105.518743 12.555562,105.518933 12.555355,105.518928 12.555228,105.518979 12.555142,105.519063 12.555001,105.519173 12.554798,105.519264 12.554264,105.519755 12.553839,105.520346 12.553773,105.520412 12.55367,105.520437 12.55361,105.520497 12.553553,105.520587 12.553515,105.520665 12.553538,105.520762 12.557985,105.520757 12.558021,105.517926;0;0;0;0
id346;S10T;2012;N;12.554557, 105.51744;PEFC CS;11;3,65;RRIV 124;12.553552,105.518639 12.553789,105.518566 12.553784,105.518483 12.553738,105.518407 12.553738,105.518222 12.553806,105.518196 12.553967,105.518042 12.554023,105.517932 12.554143,105.517823 12.554263,105.517679 12.554367,105.51763 12.554502,105.517575 12.554568,105.517508 12.55464,105.517449 12.554743,105.517368 12.554868,105.517318 12.554911,105.517181 12.554954,105.517099 12.554988,105.517059 12.55504,105.517056 12.555107,105.517031 12.555148,105.516994 12.555188,105.516932 12.555189,105.516865 12.5553,105.516753 12.555349,105.516654 12.555452,105.51651 12.555556,105.516383 12.555563,105.516305 12.555517,105.516282 12.553584,105.516241 12.553552,105.518639;0;0;0;0
id347;S11;2012;N;12.555752, 105.523105;PEFC CS;11;24,2;RRIC 121;12.553542,105.520857 12.553524,105.525352 12.557981,105.525367 12.55798,105.520843 12.553542,105.520857;0;0;0;0
id348;S12;2012;Y;12.555755, 105.527695;PEFC CS;12;24,2;RRIV 124;12.553532,105.525433 12.553537,105.529936 12.557978,105.529956 12.557977,105.525433 12.553532,105.525433;O12,P12,Q11,Q12,Q13T,R11,R12,R13T,R14,S12,S13,T13;O12,P12,Q11,Q12,Q13T,R11,R13D,R14;R12,S12,S13,T13;0
