category_id;code;name;unit;factory_id;specification;default_warehouse_ids;manages_lot;manages_expiry;min_stock;max_stock;opening_stock;image_url;equipment_name;is_active;created_at;updated_at
Nhiên liệu chế biến;DOX;Dầu vận chuyển;lít;0268ab41-a564-4538-acf1-6297ac372f57;Bồn cố định 10000L;KDDX, KDMFL;;;10000;5000;9530;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Nhiên liệu chế biến;DOSXT;Dầu lò sấy mủ tạp;lít;0268ab41-a564-4538-acf1-6297ac372f57;Bồn cố định 20000L;KDMT, KDMFL;;;20000;5000;2340;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Nhiên liệu chế biến;N140;Nhớt 140;lít;0268ab41-a564-4538-acf1-6297ac372f57;Phi 200;KDDX;;;400;13;185;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư hoá chất;APH;Acid Phosphoric 85%;kg;0268ab41-a564-4538-acf1-6297ac372f57;Can 35;KA;;;500;200;315;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Vật tư hoá chất;XPD;Xà phòng 72% dầu;kg;0268ab41-a564-4538-acf1-6297ac372f57;Cục vuông  5*5;KBHLD;;;100;10;1;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Bảo hộ;GTCS;Găng tay cao su;đôi;0268ab41-a564-4538-acf1-6297ac372f57;Túi (1 đôi);KBHLD;;;100;50;425;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Pallet các loại;PMB5;Pallet sắt MB5;cái;0268ab41-a564-4538-acf1-6297ac372f57;MB5;KTPMT, KTPMN;;;;;715;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Dụng cụ;CHC;Chổi cỏ;cây;0268ab41-a564-4538-acf1-6297ac372f57;;KBHLD;;;;;0;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Bảo hộ;BHAT;Áo thun;cái;0268ab41-a564-4538-acf1-6297ac372f57;Xanh dương Nam Nữ;KBHLD;;;;;53;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Bảo hộ;BHAM;Áo mưa;cái;0268ab41-a564-4538-acf1-6297ac372f57;Áo mưa;KBHLD;;;;;0;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Bảo hộ;BHTD;Tạp dề chống ướt;cái;0268ab41-a564-4538-acf1-6297ac372f57;Màu trong suốt;KBHLD;;;;;308;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Bảo hộ;BHBTV;Bao tay vải;đôi;0268ab41-a564-4538-acf1-6297ac372f57;Ngắn, màu trắng, chất liệu vải;KBHLD;;;;;278;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Bảo hộ;BHN;Nón vải;cái;0268ab41-a564-4538-acf1-6297ac372f57;Màu xanh lá, lưỡi trai;KBHLD;;;;;27;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Bảo hộ;BHDTO;Dép tổ ong;đôi;0268ab41-a564-4538-acf1-6297ac372f57;Màu trắng, có lỗ như tổ ong;KBHLD;;;;;203;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Bảo hộ;BHKTV;Khẩu trang vải;cái;0268ab41-a564-4538-acf1-6297ac372f57;Màu đen;KBHLD;;;;;27;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Bảo hộ;BHMBT;Mũ bọc tóc;cái;0268ab41-a564-4538-acf1-6297ac372f57;Màu xanh;KBHLD;;;;;232;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Dụng cụ;BHCHTC;Chổi cứng;cái;0268ab41-a564-4538-acf1-6297ac372f57;Chổi cứng;KBHLD;;;;;21;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Bảo hộ;BHUCS;Ủng cao su;đôi;0268ab41-a564-4538-acf1-6297ac372f57;Màu xanh, đen;KBHLD;;;0;;238;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Cáp tủ bù 16mm (50m)+coss 16 (đồng);Cáp tủ bù 16mm (50m)+coss 16 (đồng);mét;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;50;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Cáp tủ bù 35mm (20m)+coss 35 (đồng);Cáp tủ bù 35mm (20m)+coss 35 (đồng);mét;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;0;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Bộ bảo vệ áp;Bộ bảo vệ áp;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;2;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;AMMERTER;AMMERTER;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;2;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Khởi động từ MC 12b;Khởi động từ MC 12b;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;0;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Khởi động từ MC 18b;Khởi động từ MC 18b;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;4;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Khởi động từ 22b;Khởi động từ 22b;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;0;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Khởi động từ MC 32A;Khởi động từ MC 32A;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;0;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Khởi động từ MC 40A;Khởi động từ MC 40A;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;5;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Khởi động từ MC 85A;Khởi động từ MC 85A;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;0;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Khởi động từ MC 100A;Khởi động từ MC 100A;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;1;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Khởi động từ MC 225a;Khởi động từ MC 225a;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;2;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Rơle MT 32A;Rơle MT 32A;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;28;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;IC TIMER 60S;IC TIMER 60S;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;6;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;IC TIMER 999M;IC TIMER 999M;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;2;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Bộ điều khiển nhiệt độ lò sấy;Bộ điều khiển nhiệt độ lò sấy;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;3;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Đầu dò nhiệt độ 3 dây;Đầu dò nhiệt độ 3 dây;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;2;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Bộ nguồn 24VDC (FDR-180-24);Bộ nguồn 24VDC (FDR-180-24);cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;2;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Ruột cầu chì OMEGA 2A;Ruột cầu chì OMEGA 2A;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;10;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Đồng hồ đo tiếp đất;Đồng hồ đo tiếp đất;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;1;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;MCCB 30A;MCCB 30A;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;0;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;CB 175A;CB 175A;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;2;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;CB 250A;CB 250A;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;2;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;CB 300A;CB 300A;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;1;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;CB 400A;CB 400A;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;1;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;CB 3pha 100A;CB 3pha 100A;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;2;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;CB 3pha 50A;CB 3pha 50A;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;0;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;CB 3pha 32A;CB 3pha 32A;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;0;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;CB 3pha 20A;CB 3pha 20A;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;0;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;CB 1pha 50A;CB 1pha 50A;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;5;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;CB 1pha 30A;CB 1pha 30A;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;3;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;CB 1pha 16A;CB 1pha 16A;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;1;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Hộp nút bấm 3 lỗ;Hộp nút bấm 3 lỗ;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;10;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Hộp nút bấm 2 lỗ;Hộp nút bấm 2 lỗ;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;10;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;SWICH 2 tới 3 vị trí;SWICH 2 tới 3 vị trí;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;2;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị điện;Nút bấm dừng khẩn cấp;Nút bấm dừng khẩn cấp;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;17;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
